category,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Black,27635,8280,8025,6310,27765,8610,27380,6565,7100,8265,3550,6820,12005,5495,3835,9880,5725,2865,8265,13565,11060,7495,7740,15600,15185
Filipino,5620,3455,4485,2785,7820,20675,8900,12460,3150,3465,1395,5155,5805,2560,3505,7170,5675,7585,3570,9485,14650,6520,6380,9035,9035
Latin American,3280,1135,1810,730,820,935,1840,695,665,3150,1655,1130,2830,865,1545,3600,2805,1690,720,1115,3765,2220,700,1375,965
Arab,6275,4625,4590,2775,10580,5760,9970,4520,6135,4655,2265,4640,3880,1695,2155,2290,2490,2285,2230,1710,1835,1155,920,1585,1430
Southeast Asian,2065,1360,2085,2015,5275,4000,11290,1680,2450,2740,1295,1160,2515,2050,615,805,1360,1540,715,1105,1340,1330,955,1060,1095
West Asian,3405,1300,1850,545,575,2725,1870,1570,525,2565,1605,2255,2360,780,5310,5520,8940,12865,1265,1855,2960,2020,710,2690,1275
Korean,535,1960,2370,745,345,1715,530,1290,830,2415,2195,2075,2615,665,1595,1360,4350,11555,705,400,470,710,195,265,275
Japanese,95,475,765,840,255,150,85,405,610,970,955,850,925,825,525,680,625,900,635,510,330,240,120,250,205
"Visible minority, n.i.e.",4135,1335,3545,2360,1865,1345,3570,900,1215,1440,580,795,935,690,745,1435,835,810,915,1925,2630,1220,1325,2370,3495
Multiple visible minorities,3195,1775,2730,1895,3010,2510,3525,2120,2195,3705,2010,2125,2775,2500,1760,2255,2590,2585,2285,2995,3315,2425,2735,2335,3350
Not a visible minority,24985,79995,91245,74265,48555,50955,24230,72560,69515,65000,63945,74170,49790,68745,53605,34810,28715,33915,69275,42545,28535,18340,7350,24235,24730
